Hello
Hide Table  Update CSV
category;mcc;edited_description
undefined;3176;METROFLIGHT AIRLINES
undefined;3177;Airlines
undefined;3178;MESA AIR
undefined;3179;Airlines
undefined;3180;Airlines
undefined;3181;MALEV
undefined;3182;LOT (POLAND)
undefined;3183;Airlines
undefined;3184;LIAT
undefined;3185;LAV (VENEZUELA)
undefined;3186;LAP (PARAGUAY)
undefined;3187;LACSA (COSTA RICA)
undefined;3188;Airlines
undefined;3189;Airlines
undefined;3190;JUGOSLAV AIR
undefined;3191;ISLAND AIRLINES
undefined;3192;IRAN AIR
undefined;3193;INDIAN AIRLINES
undefined;3194;Airlines
undefined;3195;Airlines
undefined;3196;HAWAIIAN AIR
undefined;3197;HAVASU AIRLINES
undefined;3198;Airlines
undefined;3199;Airlines
undefined;3200;FUYANA AIRWAYS
undefined;3201;Airlines
undefined;3202;Airlines
undefined;3203;GOLDEN PACIFIC AIR
undefined;3204;FREEDOM AIR
undefined;3205;Airlines
undefined;3206;Airlines
undefined;3207;Airlines
undefined;3208;Airlines
undefined;3209;Airlines
undefined;3210;Airlines
undefined;3211;Airlines
undefined;3212;DOMINICANA
undefined;3213;Airlines
undefined;3214;Airlines
undefined;3215;DAN AIR SERVICES
undefined;3216;CUMBERLAND AIRLINES
undefined;3217;CSA
undefined;3218;CROWN AIR
undefined;3219;COPA
undefined;3220;COMPANIA FAUCETT
undefined;3221;TRANSPORTES AEROS MILITARES ECCUATORANOS
undefined;3222;COMMAND AIRWAYS
undefined;3223;COMAIR
undefined;3224;Airlines
undefined;3225;Airlines
undefined;3226;Airlines
undefined;3227;Airlines
undefined;3228;CAYMAN AIRWAYS
undefined;3229;SAETA SOCIAEDAD ECUATORIANOS DE TRANSPORTES AEREOS
undefined;3230;Airlines
undefined;3231;SASHA SERVICIO AERO DE HONDURAS
undefined;3232;Airlines
undefined;3233;CAPITOL AIR
undefined;3234;BWIA
undefined;3235;BROKWAY AIR
undefined;3236;Airlines
undefined;3237;Airlines
undefined;3238;BEMIDJI AIRLINES
undefined;3239;BAR HARBOR AIRLINES
undefined;3240;BAHAMASAIR
undefined;3241;AVIATECA (GUATEMALA)
undefined;3242;AVENSA
undefined;3243;AUSTRIAN AIR SERVICE
undefined;3244;Airlines
undefined;3245;Airlines
undefined;3246;Airlines
undefined;3247;Airlines
undefined;3248;Airlines
undefined;3249;Airlines
